### SYSTEM         = Linux ubuntu 6.2.0-dirty #2 SMP PREEMPT_DYNAMIC Fri Oct 13 06:42:10 UTC 2023 x86_64 x86_64 x86_64 GNU/Linux
### DISK_SIZE      = 10G
### DURATION       = 10s
### DIRECTIO       = bufferedio,directio
### MEDIA_TYPES    = ssd,hdd,nvme,mem
### FS_TYPES       = PayGo,PayGo+group(s=16),PayGo+group(s=8),PayGo+group(s=4),PayGo+group(s=2)
### BENCH_TYPES    = DWAL,DWOL,DWOM,DWSL,MWRL,MWRM,MWCL,MWCM,MWUM,MWUL,DWTL,filebench_varmail,filebench_oltp,filebench_fileserver,dbench_client,MRPL,MRPM,MRPH,MRDM,MRDL,DRBH,DRBM,DRBL
### NCORES         = 1,2,4,9,18,27,36
### CORE_SEQ       = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35


### MODEL_NAME     = Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
### PHYSICAL_CHIPS = 2
### CORE_PER_CHIP  = 18
### SMT_LEVEL      = 1


## mem:PayGo:DRBH:36:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

36 9.999877 390565343.000000 39057016.328677 10.0566 190.75 0 169.53 1.68 0 0 0 0.05 0 52.6919 0 46.8302 0.464076 0 0 0 0.0138118 0

## mem:PayGo:DRBH:27:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

27 9.999928 322725681.000000 32272799.029806 10.0647 128.41 0 142.11 1.25 0 0 0 0 0 47.2495 0 52.2905 0.459948 0 0 0 0 0

## mem:PayGo:DRBH:18:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

18 9.999997 229101009.000000 22910108.536703 10.068 84.43 0 95.94 0.88 0 0 0 0.01 0 46.5795 0 52.9295 0.48549 0 0 0 0.00551694 0

## mem:PayGo:DRBH:9:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

9 9.999985 127222029.000000 12722222.266049 10.0689 41.99 0 48.22 0.42 0 0 0 0 0 46.3312 0 53.2053 0.463423 0 0 0 0 0

## mem:PayGo:DRBH:4:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

4 9.999999 62728509.000000 6272851.684106 10.064 18.79 0 21.32 0.14 0 0 0 0 0 46.6832 0 52.9689 0.347826 0 0 0 0 0

## mem:PayGo:DRBH:2:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

2 10.000006 31700412.000000 3170039.297976 10.0611 8.83 0 11.25 0.04 0 0 0 0 0 43.8867 0 55.9145 0.198807 0 0 0 0 0

## mem:PayGo:DRBH:1:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

1 10.000011 15715472.000000 1571545.471300 10.0716 4.89 0 5.18 0 0 0 0 0 0 48.5601 0 51.4399 0 0 0 0 0 0

## mem:PayGo+group(s=16):DRBH:36:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

36 10.000219 392616354.000000 39260775.916181 10.0724 190.97 0 169.36 2.14 0 0 0 0.08 0 52.6741 0 46.7136 0.590263 0 0 0 0.0220659 0

## mem:PayGo+group(s=16):DRBH:27:bufferedio
# ncpu secs works works/sec real.sec user.sec nice.sec sys.sec idle.sec iowait.sec irq.sec softirq.sec steal.sec guest.sec user.util nice.util sys.util idle.util iowait.util irq.util softirq.util steal.util guest.util

